* DMS Fastgraph population variation export
* Rig: B&K 5128
* Dataset: ARI + AXD/SONICOM + SoundSphere2
* Measurement Type: blocked-ear-canal in-ear HRTF SOFA data
* Population Units: 749 listeners, one bilateral diffuse-field curve per listener
* Database Counts: ARI=263; AXD/SONICOM=408; SoundSphere2=78
* Weighting: equal listener weighting; all available directions and both receivers averaged per listener
* EQ Applied: No
* Channel Side: bilateral
* Export Type: Variation Band
* Export Date: 2026-07-29 14:48:15
* Compensated: Yes
* HRTF Files: 5128 canal approximation.txt; 5128 DF.txt
* Canal Correction: above 1 kHz, blocked-canal response + 5128 canal transfer function; below 1 kHz, smoothly transitioned to aligned 5128 DF line; 16-20 kHz high-frequency slope blended toward aligned 5128 DF
* Listener Normalization: 0 dB at 1 kHz before canal correction
* Variation Sweeps: 749 listener curves
* Smoothing: 1/48 octave
* Percentiles: p10/p25/median/p75/p90 across listeners
* Normalization: Fastgraph 1 kHz normalization above transition; DF line aligned to the 1 kHz median
* Points: log-spaced
*
* Low-Frequency Reference: 5128 DF.txt
* DF Transition: smooth log-frequency blend; original VAR at 1 kHz, single DF line at 500 Hz and below
* DF Alignment: DF curve offset to match the original population median at 1 kHz
* High-Frequency Treatment: smooth 16-17 kHz handoff, then 5128 DF slope through 20 kHz
* High-Frequency Alignment: DF curve aligned to the measured median at 16 kHz; 16 kHz percentile offsets held through 20 kHz
* Frequency(Hz)	P10(dB)	P25(dB)	Median(dB)	P75(dB)	P90(dB)
20.0000	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.1156	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.2318	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.3487	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.4663	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.5845	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.7034	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.8231	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
20.9434	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.0644	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.1861	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.3085	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.4316	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.5555	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.6800	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.8053	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
21.9312	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.0580	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.1854	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.3136	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.4425	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.5722	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.7026	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.8338	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
22.9657	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
23.0984	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
23.2319	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
23.3661	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
23.5011	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
23.6369	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
23.7735	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
23.9108	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
24.0490	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
24.1879	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
24.3277	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
24.4683	-2.162551	-2.162551	-2.162551	-2.162551	-2.162551
24.6096	-2.161826	-2.161826	-2.161826	-2.161826	-2.161826
24.7518	-2.161551	-2.161551	-2.161551	-2.161551	-2.161551
24.8948	-2.161551	-2.161551	-2.161551	-2.161551	-2.161551
25.0387	-2.161551	-2.161551	-2.161551	-2.161551	-2.161551
25.1833	-2.161551	-2.161551	-2.161551	-2.161551	-2.161551
25.3289	-2.161551	-2.161551	-2.161551	-2.161551	-2.161551
25.4752	-2.161039	-2.161039	-2.161039	-2.161039	-2.161039
25.6224	-2.160551	-2.160551	-2.160551	-2.160551	-2.160551
25.7704	-2.160551	-2.160551	-2.160551	-2.160551	-2.160551
25.9193	-2.160551	-2.160551	-2.160551	-2.160551	-2.160551
26.0691	-2.160551	-2.160551	-2.160551	-2.160551	-2.160551
26.2197	-2.160049	-2.160049	-2.160049	-2.160049	-2.160049
26.3712	-2.159551	-2.159551	-2.159551	-2.159551	-2.159551
26.5236	-2.159551	-2.159551	-2.159551	-2.159551	-2.159551
26.6768	-2.159551	-2.159551	-2.159551	-2.159551	-2.159551
26.8310	-2.159551	-2.159551	-2.159551	-2.159551	-2.159551
26.9860	-2.159059	-2.159059	-2.159059	-2.159059	-2.159059
27.1419	-2.158551	-2.158551	-2.158551	-2.158551	-2.158551
27.2987	-2.158551	-2.158551	-2.158551	-2.158551	-2.158551
27.4565	-2.158551	-2.158551	-2.158551	-2.158551	-2.158551
27.6151	-2.157867	-2.157867	-2.157867	-2.157867	-2.157867
27.7747	-2.157551	-2.157551	-2.157551	-2.157551	-2.157551
27.9351	-2.157551	-2.157551	-2.157551	-2.157551	-2.157551
28.0966	-2.157551	-2.157551	-2.157551	-2.157551	-2.157551
28.2589	-2.157551	-2.157551	-2.157551	-2.157551	-2.157551
28.4222	-2.156878	-2.156878	-2.156878	-2.156878	-2.156878
28.5864	-2.156551	-2.156551	-2.156551	-2.156551	-2.156551
28.7516	-2.156551	-2.156551	-2.156551	-2.156551	-2.156551
28.9177	-2.156483	-2.156483	-2.156483	-2.156483	-2.156483
29.0848	-2.155686	-2.155686	-2.155686	-2.155686	-2.155686
29.2528	-2.155551	-2.155551	-2.155551	-2.155551	-2.155551
29.4218	-2.155551	-2.155551	-2.155551	-2.155551	-2.155551
29.5918	-2.155551	-2.155551	-2.155551	-2.155551	-2.155551
29.7628	-2.155494	-2.155494	-2.155494	-2.155494	-2.155494
29.9348	-2.154696	-2.154696	-2.154696	-2.154696	-2.154696
30.1077	-2.154551	-2.154551	-2.154551	-2.154551	-2.154551
30.2817	-2.154551	-2.154551	-2.154551	-2.154551	-2.154551
30.4567	-2.154302	-2.154302	-2.154302	-2.154302	-2.154302
30.6326	-2.153551	-2.153551	-2.153551	-2.153551	-2.153551
30.8096	-2.153551	-2.153551	-2.153551	-2.153551	-2.153551
30.9876	-2.153551	-2.153551	-2.153551	-2.153551	-2.153551
31.1667	-2.153111	-2.153111	-2.153111	-2.153111	-2.153111
31.3468	-2.152551	-2.152551	-2.152551	-2.152551	-2.152551
31.5279	-2.152551	-2.152551	-2.152551	-2.152551	-2.152551
31.7100	-2.152551	-2.152551	-2.152551	-2.152551	-2.152551
31.8933	-2.151919	-2.151919	-2.151919	-2.151919	-2.151919
32.0775	-2.151551	-2.151551	-2.151551	-2.151551	-2.151551
32.2629	-2.151551	-2.151551	-2.151551	-2.151551	-2.151551
32.4493	-2.151525	-2.151525	-2.151525	-2.151525	-2.151525
32.6368	-2.150727	-2.150727	-2.150727	-2.150727	-2.150727
32.8253	-2.150551	-2.150551	-2.150551	-2.150551	-2.150551
33.0150	-2.150551	-2.150551	-2.150551	-2.150551	-2.150551
33.2058	-2.150333	-2.150333	-2.150333	-2.150333	-2.150333
33.3976	-2.149551	-2.149551	-2.149551	-2.149551	-2.149551
33.5906	-2.149551	-2.149551	-2.149551	-2.149551	-2.149551
33.7847	-2.148940	-2.148940	-2.148940	-2.148940	-2.148940
33.9799	-2.148551	-2.148551	-2.148551	-2.148551	-2.148551
34.1762	-2.148551	-2.148551	-2.148551	-2.148551	-2.148551
34.3737	-2.148545	-2.148545	-2.148545	-2.148545	-2.148545
34.5723	-2.147748	-2.147748	-2.147748	-2.147748	-2.147748
34.7720	-2.147551	-2.147551	-2.147551	-2.147551	-2.147551
34.9729	-2.147551	-2.147551	-2.147551	-2.147551	-2.147551
35.1750	-2.147354	-2.147354	-2.147354	-2.147354	-2.147354
35.3783	-2.146556	-2.146556	-2.146556	-2.146556	-2.146556
35.5827	-2.146551	-2.146551	-2.146551	-2.146551	-2.146551
35.7883	-2.145961	-2.145961	-2.145961	-2.145961	-2.145961
35.9950	-2.145551	-2.145551	-2.145551	-2.145551	-2.145551
36.2030	-2.145551	-2.145551	-2.145551	-2.145551	-2.145551
36.4122	-2.145551	-2.145551	-2.145551	-2.145551	-2.145551
36.6226	-2.144769	-2.144769	-2.144769	-2.144769	-2.144769
36.8342	-2.144551	-2.144551	-2.144551	-2.144551	-2.144551
37.0470	-2.144173	-2.144173	-2.144173	-2.144173	-2.144173
37.2611	-2.143551	-2.143551	-2.143551	-2.143551	-2.143551
37.4763	-2.143551	-2.143551	-2.143551	-2.143551	-2.143551
37.6929	-2.143551	-2.143551	-2.143551	-2.143551	-2.143551
37.9107	-2.142981	-2.142981	-2.142981	-2.142981	-2.142981
38.1297	-2.142551	-2.142551	-2.142551	-2.142551	-2.142551
38.3500	-2.142385	-2.142385	-2.142385	-2.142385	-2.142385
38.5716	-2.141587	-2.141587	-2.141587	-2.141587	-2.141587
38.7945	-2.141551	-2.141551	-2.141551	-2.141551	-2.141551
39.0186	-2.141551	-2.141551	-2.141551	-2.141551	-2.141551
39.2441	-2.141194	-2.141194	-2.141194	-2.141194	-2.141194
39.4708	-2.140551	-2.140551	-2.140551	-2.140551	-2.140551
39.6989	-2.140551	-2.140551	-2.140551	-2.140551	-2.140551
39.9282	-2.139800	-2.139800	-2.139800	-2.139800	-2.139800
40.1589	-2.139551	-2.139551	-2.139551	-2.139551	-2.139551
40.3910	-2.139204	-2.139204	-2.139204	-2.139204	-2.139204
40.6244	-2.138551	-2.138551	-2.138551	-2.138551	-2.138551
40.8591	-2.138551	-2.138551	-2.138551	-2.138551	-2.138551
41.0952	-2.137810	-2.137810	-2.137810	-2.137810	-2.137810
41.3326	-2.137551	-2.137551	-2.137551	-2.137551	-2.137551
41.5714	-2.137551	-2.137551	-2.137551	-2.137551	-2.137551
41.8116	-2.137416	-2.137416	-2.137416	-2.137416	-2.137416
42.0532	-2.136618	-2.136618	-2.136618	-2.136618	-2.136618
42.2962	-2.136551	-2.136551	-2.136551	-2.136551	-2.136551
42.5406	-2.136023	-2.136023	-2.136023	-2.136023	-2.136023
42.7863	-2.135551	-2.135551	-2.135551	-2.135551	-2.135551
43.0336	-2.135426	-2.135426	-2.135426	-2.135426	-2.135426
43.2822	-2.134629	-2.134629	-2.134629	-2.134629	-2.134629
43.5323	-2.134551	-2.134551	-2.134551	-2.134551	-2.134551
43.7838	-2.134033	-2.134033	-2.134033	-2.134033	-2.134033
44.0368	-2.133551	-2.133551	-2.133551	-2.133551	-2.133551
44.2912	-2.133437	-2.133437	-2.133437	-2.133437	-2.133437
44.5471	-2.132639	-2.132639	-2.132639	-2.132639	-2.132639
44.8045	-2.132551	-2.132551	-2.132551	-2.132551	-2.132551
45.0634	-2.132044	-2.132044	-2.132044	-2.132044	-2.132044
45.3238	-2.131551	-2.131551	-2.131551	-2.131551	-2.131551
45.5857	-2.131447	-2.131447	-2.131447	-2.131447	-2.131447
45.8490	-2.130649	-2.130649	-2.130649	-2.130649	-2.130649
46.1140	-2.130551	-2.130551	-2.130551	-2.130551	-2.130551
46.3804	-2.130054	-2.130054	-2.130054	-2.130054	-2.130054
46.6484	-2.129551	-2.129551	-2.129551	-2.129551	-2.129551
46.9179	-2.129551	-2.129551	-2.129551	-2.129551	-2.129551
47.1890	-2.129551	-2.129551	-2.129551	-2.129551	-2.129551
47.4616	-2.128862	-2.128862	-2.128862	-2.128862	-2.128862
47.7359	-2.128551	-2.128551	-2.128551	-2.128551	-2.128551
48.0117	-2.128266	-2.128266	-2.128266	-2.128266	-2.128266
48.2891	-2.127551	-2.127551	-2.127551	-2.127551	-2.127551
48.5681	-2.127551	-2.127551	-2.127551	-2.127551	-2.127551
48.8487	-2.126873	-2.126873	-2.126873	-2.126873	-2.126873
49.1310	-2.126551	-2.126551	-2.126551	-2.126551	-2.126551
49.4148	-2.126277	-2.126277	-2.126277	-2.126277	-2.126277
49.7003	-2.125551	-2.125551	-2.125551	-2.125551	-2.125551
49.9875	-2.125551	-2.125551	-2.125551	-2.125551	-2.125551
50.2763	-2.124883	-2.124883	-2.124883	-2.124883	-2.124883
50.5668	-2.124551	-2.124551	-2.124551	-2.124551	-2.124551
50.8590	-2.124287	-2.124287	-2.124287	-2.124287	-2.124287
51.1529	-2.123551	-2.123551	-2.123551	-2.123551	-2.123551
51.4484	-2.123551	-2.123551	-2.123551	-2.123551	-2.123551
51.7457	-2.122893	-2.122893	-2.122893	-2.122893	-2.122893
52.0447	-2.122551	-2.122551	-2.122551	-2.122551	-2.122551
52.3454	-2.122297	-2.122297	-2.122297	-2.122297	-2.122297
52.6478	-2.121551	-2.121551	-2.121551	-2.121551	-2.121551
52.9520	-2.121551	-2.121551	-2.121551	-2.121551	-2.121551
53.2580	-2.120904	-2.120904	-2.120904	-2.120904	-2.120904
53.5657	-2.120551	-2.120551	-2.120551	-2.120551	-2.120551
53.8752	-2.120308	-2.120308	-2.120308	-2.120308	-2.120308
54.1865	-2.119509	-2.119509	-2.119509	-2.119509	-2.119509
