* Measurement data measured by REW V5.40 beta 114
* Source: /Users/dms/Documents/FR things/Targets/KEMAR DF (KB50xx)  Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Oct 22, 2024, 11:14:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/dms/Documents/FR things/Targets/KEMAR DF (KB50xx)  Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* Measurement: KEMAR DF (KB50xx)  Target
* Smoothing: Psychoacoustic
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
20.000000, -0.006
20.144928, -0.006
20.290907, -0.006
20.437943, -0.005
20.586044, -0.005
20.735220, -0.005
20.885475, -0.005
21.036821, -0.005
21.189262, -0.005
21.342808, -0.005
21.497467, -0.004
21.653246, -0.004
21.810154, -0.004
21.968201, -0.004
22.127390, -0.004
22.287735, -0.003
22.449242, -0.003
22.611917, -0.003
22.775772, -0.003
22.940815, -0.003
23.107054, -0.002
23.274498, -0.002
23.443153, -0.002
23.613033, -0.002
23.784142, -0.001
23.956491, -0.001
24.130091, -0.001
24.304947, -0.001
24.481071, -0.000
24.658470, -0.000
24.837156, 0.000
25.017136, 0.000
25.198421, 0.001
25.381020, 0.001
25.564941, 0.001
25.750195, 0.001
25.936790, 0.002
26.124741, 0.002
26.314051, 0.002
26.504732, 0.003
26.696796, 0.003
26.890253, 0.003
27.085112, 0.003
27.281382, 0.004
27.479073, 0.004
27.678198, 0.004
27.878765, 0.005
28.080786, 0.005
28.284271, 0.005
28.489231, 0.005
28.695675, 0.006
28.903616, 0.006
29.113064, 0.006
29.324028, 0.007
29.536524, 0.007
29.750557, 0.007
29.966141, 0.008
30.183289, 0.008
30.402010, 0.008
30.622314, 0.009
30.844217, 0.009
31.067726, 0.009
31.292856, 0.010
31.519617, 0.010
31.748020, 0.010
31.978081, 0.011
32.209808, 0.011
32.443211, 0.011
32.678310, 0.012
32.915108, 0.012
33.153625, 0.012
33.393871, 0.013
33.635857, 0.013
33.879597, 0.013
34.125103, 0.014
34.372387, 0.014
34.621464, 0.015
34.872345, 0.015
35.125042, 0.015
35.379574, 0.016
35.635948, 0.016
35.894180, 0.017
36.154285, 0.017
36.416275, 0.017
36.680161, 0.018
36.945961, 0.018
37.213688, 0.019
37.483353, 0.019
37.754974, 0.019
38.028561, 0.020
38.304131, 0.020
38.581699, 0.021
38.861279, 0.021
39.142883, 0.021
39.426529, 0.022
39.712231, 0.022
40.000000, 0.023
40.289856, 0.023
40.581814, 0.024
40.875885, 0.024
41.172089, 0.024
41.470440, 0.025
41.770950, 0.025
42.073643, 0.026
42.378525, 0.026
42.685616, 0.027
42.994934, 0.027
43.306492, 0.028
43.620308, 0.028
43.936401, 0.029
44.254780, 0.029
44.575470, 0.029
44.898483, 0.030
45.223835, 0.030
45.551544, 0.031
45.881630, 0.031
46.214108, 0.032
46.548996, 0.032
46.886307, 0.033
47.226067, 0.033
47.568283, 0.034
47.912983, 0.034
48.260181, 0.035
48.609894, 0.035
48.962143, 0.036
49.316940, 0.036
49.674313, 0.037
50.034271, 0.037
50.396843, 0.037
50.762039, 0.038
51.129883, 0.038
51.500389, 0.039
51.873581, 0.039
52.249481, 0.040
52.628101, 0.040
53.009464, 0.041
53.393593, 0.041
53.780506, 0.042
54.170223, 0.042
54.562763, 0.043
54.958145, 0.044
55.356396, 0.044
55.757530, 0.045
56.161572, 0.045
56.568542, 0.046
56.978462, 0.046
57.391350, 0.047
57.807232, 0.047
58.226128, 0.048
58.648056, 0.048
59.073048, 0.049
59.501114, 0.050
59.932281, 0.050
60.366577, 0.051
60.804020, 0.051
61.244629, 0.052
61.688435, 0.053
62.135452, 0.053
62.585712, 0.054
63.039234, 0.054
63.496040, 0.055
63.956161, 0.056
64.419617, 0.056
64.886421, 0.057
65.356621, 0.058
65.830215, 0.058
66.307251, 0.059
66.787743, 0.060
67.271713, 0.061
67.759193, 0.061
68.250206, 0.062
68.744774, 0.063
69.242928, 0.064
69.744690, 0.064
70.250084, 0.065
70.759148, 0.066
71.271896, 0.067
71.788361, 0.068
72.308571, 0.069
72.832550, 0.069
73.360321, 0.070
73.891922, 0.071
74.427376, 0.072
74.966705, 0.073
75.509949, 0.074
76.057121, 0.075
76.608261, 0.076
77.163399, 0.077
77.722557, 0.078
78.285767, 0.079
78.853058, 0.080
79.424461, 0.081
80.000000, 0.082
80.579712, 0.084
81.163628, 0.085
81.751770, 0.086
82.344177, 0.087
82.940880, 0.088
83.541901, 0.090
84.147285, 0.091
84.757050, 0.092
85.371231, 0.093
85.989868, 0.095
86.612984, 0.096
87.240616, 0.097
87.872803, 0.099
88.509560, 0.100
89.150940, 0.102
89.796967, 0.103
90.447670, 0.104
91.103088, 0.106
91.763260, 0.107
92.428215, 0.109
93.097992, 0.110
93.772614, 0.112
94.452133, 0.113
95.136566, 0.115
95.825966, 0.116
96.520363, 0.117
97.219788, 0.119
97.924286, 0.120
98.633881, 0.122
99.348625, 0.124
100.068542, 0.125
100.793686, 0.127
101.524078, 0.128
102.259766, 0.130
103.000778, 0.131
103.747162, 0.133
104.498962, 0.134
105.256203, 0.136
106.018929, 0.137
106.787186, 0.139
107.561012, 0.141
108.340446, 0.142
109.125526, 0.144
109.916290, 0.146
110.712791, 0.147
111.515060, 0.149
112.323143, 0.151
113.137085, 0.153
113.956924, 0.155
114.782700, 0.156
115.614464, 0.158
116.452255, 0.160
117.296112, 0.162
118.146095, 0.164
119.002228, 0.166
119.864563, 0.168
120.733154, 0.170
121.608040, 0.173
122.489258, 0.175
123.376869, 0.177
124.270905, 0.179
125.171425, 0.182
126.078468, 0.184
126.992081, 0.187
127.912323, 0.189
128.839233, 0.192
129.772842, 0.195
130.713242, 0.197
131.660431, 0.200
132.614502, 0.203
133.575485, 0.206
134.543427, 0.209
135.518387, 0.212
136.500412, 0.215
137.489548, 0.219
138.485855, 0.222
139.489380, 0.225
140.500168, 0.229
141.518295, 0.232
142.543793, 0.235
143.576721, 0.239
144.617142, 0.243
145.665100, 0.246
146.720642, 0.250
147.783844, 0.254
148.854752, 0.258
149.933411, 0.262
151.019897, 0.265
152.114243, 0.269
153.216522, 0.273
154.326797, 0.278
155.445114, 0.282
156.571533, 0.286
157.706116, 0.290
158.848923, 0.294
160.000000, 0.299
161.159424, 0.303
162.327255, 0.308
163.503540, 0.312
164.688354, 0.317
165.881760, 0.321
167.083801, 0.326
168.294571, 0.331
169.514099, 0.335
170.742462, 0.340
171.979736, 0.345
173.225967, 0.350
174.481232, 0.355
175.745605, 0.360
177.019119, 0.365
178.301880, 0.370
179.593933, 0.375
180.895340, 0.381
182.206177, 0.386
183.526520, 0.392
184.856430, 0.397
186.195984, 0.403
187.545227, 0.408
188.904266, 0.414
190.273132, 0.420
191.651932, 0.425
193.040726, 0.431
194.439575, 0.437
195.848572, 0.443
197.267761, 0.450
198.697250, 0.456
200.137085, 0.462
201.587372, 0.468
203.048157, 0.475
204.519531, 0.481
206.001556, 0.488
207.494324, 0.495
208.997925, 0.502
210.512405, 0.509
212.037857, 0.516
213.574371, 0.523
215.122025, 0.530
216.680893, 0.537
218.251053, 0.544
219.832581, 0.552
221.425583, 0.559
223.030121, 0.567
224.646286, 0.575
226.274170, 0.583
227.913849, 0.591
229.565399, 0.599
231.228928, 0.607
232.904510, 0.615
234.592224, 0.624
236.292191, 0.632
238.004456, 0.641
239.729126, 0.649
241.466309, 0.658
243.216080, 0.667
244.978516, 0.676
246.753738, 0.685
248.541809, 0.694
250.342850, 0.704
252.156937, 0.713
253.984161, 0.722
255.824646, 0.732
257.678467, 0.742
259.545685, 0.752
261.426483, 0.762
263.320862, 0.772
265.229004, 0.782
267.150970, 0.792
269.086853, 0.803
271.036774, 0.813
273.000824, 0.824
274.979095, 0.835
276.971710, 0.846
278.978760, 0.857
281.000336, 0.868
283.036591, 0.880
285.087585, 0.892
287.153442, 0.903
289.234283, 0.915
291.330200, 0.927
293.441284, 0.940
295.567688, 0.952
297.709503, 0.965
299.866821, 0.977
302.039795, 0.990
304.228485, 1.003
306.433044, 1.017
308.653595, 1.030
310.890228, 1.044
313.143066, 1.057
315.412231, 1.071
317.697845, 1.085
320.000000, 1.100
322.318848, 1.114
324.654510, 1.129
327.007080, 1.143
329.376709, 1.158
331.763519, 1.173
334.167603, 1.188
336.589142, 1.203
339.028198, 1.219
341.484924, 1.234
343.959473, 1.250
346.451935, 1.266
348.962463, 1.282
351.491211, 1.298
354.038239, 1.314
356.603760, 1.331
359.187866, 1.347
361.790680, 1.364
364.412354, 1.381
367.053040, 1.398
369.712860, 1.415
372.391968, 1.433
375.090454, 1.450
377.808533, 1.468
380.546265, 1.486
383.303864, 1.504
386.081451, 1.522
388.879150, 1.541
391.697144, 1.559
394.535522, 1.578
397.394501, 1.597
400.274170, 1.616
403.174744, 1.636
406.096313, 1.655
409.039062, 1.675
412.003113, 1.695
414.988647, 1.715
417.995850, 1.736
421.024811, 1.756
424.075714, 1.777
427.148743, 1.798
430.244049, 1.819
433.361786, 1.840
436.502106, 1.862
439.665161, 1.883
442.851166, 1.905
446.060242, 1.927
449.292572, 1.949
452.548340, 1.971
455.827698, 1.994
459.130798, 2.016
462.457855, 2.038
465.809021, 2.061
469.184448, 2.083
472.584381, 2.106
476.008911, 2.129
479.458252, 2.151
482.932617, 2.174
486.432159, 2.197
489.957031, 2.220
493.507477, 2.242
497.083618, 2.265
500.685699, 2.287
504.313873, 2.310
507.968323, 2.332
511.649292, 2.355
515.356934, 2.377
519.091370, 2.399
522.852966, 2.421
526.641724, 2.443
530.458008, 2.464
534.301941, 2.486
538.173706, 2.507
542.073547, 2.528
546.001648, 2.549
549.958191, 2.570
553.943420, 2.590
557.957520, 2.610
562.000671, 2.630
566.073181, 2.650
570.175171, 2.669
574.306885, 2.689
578.468567, 2.707
582.660400, 2.726
586.882568, 2.744
591.135376, 2.762
595.419006, 2.780
599.733643, 2.797
604.079590, 2.814
608.456970, 2.831
612.866089, 2.847
617.307190, 2.863
621.780457, 2.879
626.286133, 2.894
630.824463, 2.909
635.395691, 2.923
640.000000, 2.937
644.637695, 2.951
649.309021, 2.964
654.014160, 2.976
658.753418, 2.989
663.527039, 3.001
668.335205, 3.012
673.178284, 3.023
678.056396, 3.034
682.969849, 3.044
687.918945, 3.053
692.903870, 3.063
697.924927, 3.071
702.982422, 3.079
708.076477, 3.087
713.207520, 3.095
718.375732, 3.101
723.581360, 3.108
728.824707, 3.114
734.106079, 3.119
739.425720, 3.124
